Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2024-01-08 20:18:58,2024-01-09 11:58:22,Shop,-13.27,0.00,EUR,COMPLETED,19.79
CARD_PAYMENT,Current,2024-01-09 20:02:00,2024-01-10 20:51:21,Texts,-4.59,0.00,EUR,COMPLETED,15.20
CARD_PAYMENT,Current,2024-01-23 03:03:39,2024-01-23 14:09:54,Discord,-9.99,0.00,EUR,COMPLETED,5.21
CARD_PAYMENT,Current,2024-02-09 21:01:03,2024-02-10 14:25:47,Texts,-4.65,0.00,EUR,COMPLETED,0.56
TOPUP,Current,2024-02-20 05:29:39,2024-02-20 05:29:39,Shop Pay Top-Up,20.00,0.00,EUR,COMPLETED,20.56
TOPUP,Current,2024-03-01 03:43:20,2024-03-01 03:43:22,Shop Pay Top-Up,20.00,0.00,EUR,COMPLETED,20.56
TOPUP,Current,2024-03-01 03:43:50,2024-03-01 03:43:51,Shop Pay Top-Up,50.00,0.00,EUR,COMPLETED,70.56
TOPUP,Current,2024-03-01 03:44:03,2024-03-01 03:44:05,Shop Pay Top-Up,50.00,0.00,EUR,COMPLETED,120.56
TOPUP,Current,2024-03-01 03:44:25,2024-03-01 03:44:27,Shop Pay Top-Up,50.00,0.00,EUR,COMPLETED,170.56
TOPUP,Current,2024-03-01 03:44:38,2024-03-01 03:44:39,Shop Pay Top-Up,50.00,0.00,EUR,COMPLETED,220.56
CARD_PAYMENT,Current,2024-03-01 03:45:35,2024-03-01 15:53:12,itch.io,-185.48,0.00,EUR,COMPLETED,35.08
CARD_PAYMENT,Current,2024-03-01 05:12:18,2024-03-01 15:53:18,Discord,-9.99,0.00,EUR,COMPLETED,25.09
CARD_PAYMENT,Current,2024-03-01 06:49:02,2024-03-01 03:53:43,Shop,-13.27,0.00,EUR,COMPLETED,11.82
CARD_PAYMENT,Current,2024-03-09 21:01:17,2024-03-10 15:57:40,Texts,-4.59,0.05,EUR,COMPLETED,7.18
TOPUP,Current,2024-03-23 23:36:34,2024-03-23 23:36:34,Shop Pay Top-Up,20.00,0.00,EUR,COMPLETED,27.18
